Week Ending,Provider State,cases
01/03/21,AK,630.0
01/03/21,AL,18552.0
01/03/21,AR,13951.0
01/03/21,AZ,9912.0
01/03/21,CA,81864.0
01/03/21,CO,13125.0
01/03/21,CT,17455.0
01/03/21,DC,1941.0
01/03/21,DE,3333.0
01/03/21,FL,62313.0
01/03/21,GA,26823.0
01/03/21,GU,10.0
01/03/21,HI,3197.0
01/03/21,IA,19148.0
01/03/21,ID,3195.0
01/03/21,IL,55008.0
01/03/21,IN,32048.0
01/03/21,KS,14200.0
01/03/21,KY,19438.0
01/03/21,LA,21807.0
01/03/21,MA,29798.0
01/03/21,MD,19512.0
01/03/21,ME,5002.0
01/03/21,MI,29728.0
01/03/21,MN,19534.0
01/03/21,MO,31835.0
01/03/21,MS,13331.0
01/03/21,MT,2870.0
01/03/21,NC,30098.0
01/03/21,ND,4395.0
01/03/21,NE,9325.0
01/03/21,NH,5258.0
01/03/21,NJ,34554.0
01/03/21,NM,4299.0
01/03/21,NV,4739.0
01/03/21,NY,85572.0
01/03/21,OH,59768.0
01/03/21,OK,14734.0
01/03/21,OR,6223.0
01/03/21,PA,60246.0
01/03/21,PR,37.0
01/03/21,RI,5964.0
01/03/21,SC,14654.0
01/03/21,SD,4795.0
01/03/21,TN,22462.0
01/03/21,TX,73784.0
01/03/21,UT,4819.0
01/03/21,VA,22921.0
01/03/21,VT,2089.0
01/03/21,WA,12193.0
01/03/21,WI,17678.0
01/03/21,WV,7981.0
01/03/21,WY,1917.0
01/10/21,AK,636.0
01/10/21,AL,18438.0
01/10/21,AR,13911.0
01/10/21,AZ,9986.0
01/10/21,CA,81340.0
01/10/21,CO,13126.0
01/10/21,CT,17566.0
01/10/21,DC,1946.0
01/10/21,DE,3335.0
01/10/21,FL,62715.0
01/10/21,GA,26821.0
01/10/21,GU,7.0
01/10/21,HI,3199.0
01/10/21,IA,19142.0
01/10/21,ID,3366.0
01/10/21,IL,54726.0
01/10/21,IN,31655.0
01/10/21,KS,14176.0
01/10/21,KY,19270.0
01/10/21,LA,21731.0
01/10/21,MA,30314.0
01/10/21,MD,19371.0
01/10/21,ME,4976.0
01/10/21,MI,29989.0
01/10/21,MN,19480.0
01/10/21,MO,31885.0
01/10/21,MS,13296.0
01/10/21,MT,2865.0
01/10/21,NC,30049.0
01/10/21,ND,4392.0
