Week Ending,new_cases,new_deaths,cases,deaths
01/22/20,0,0,1,0
01/23/20,0,0,1,0
01/24/20,1,0,2,0
01/25/20,1,0,3,0
01/26/20,2,0,5,0
01/27/20,0,0,5,0
01/28/20,0,0,5,0
01/29/20,0,0,5,0
01/30/20,1,0,6,0
01/31/20,1,0,7,0
02/01/20,1,0,8,0
02/02/20,3,0,11,0
02/03/20,0,0,11,0
02/04/20,0,0,11,0
02/05/20,1,0,12,0
02/06/20,0,0,12,0
02/07/20,0,0,12,0
02/08/20,0,0,12,0
02/09/20,0,0,12,0
02/10/20,1,0,13,0
02/11/20,0,0,13,0
02/12/20,1,0,14,0
02/13/20,1,0,15,0
02/14/20,0,0,15,0
02/15/20,0,0,15,0
02/16/20,0,0,15,0
02/17/20,10,0,25,0
02/18/20,0,0,25,0
02/19/20,0,0,25,0
02/20/20,2,0,27,0
02/21/20,3,0,30,0
02/22/20,0,0,30,0
02/23/20,0,0,30,0
02/24/20,13,0,43,0
02/25/20,2,0,45,0
02/26/20,15,0,60,0
02/27/20,0,0,60,0
02/28/20,5,0,65,0
02/29/20,5,1,70,1
03/01/20,18,2,88,3
03/02/20,16,3,104,6
03/03/20,21,4,125,10
03/04/20,36,2,161,12
03/05/20,67,0,228,12
03/06/20,83,3,311,15
03/07/20,117,4,428,19
03/08/20,119,3,547,22
03/09/20,201,4,748,26
03/10/20,270,5,1018,31
03/11/20,245,6,1263,37
03/12/20,405,6,1668,43
03/13/20,556,7,2224,50
03/14/20,674,10,2898,60
03/15/20,702,8,3600,68
03/16/20,907,23,4507,91
03/17/20,1399,26,5906,117
03/18/20,2444,45,8350,162
03/19/20,4043,50,12393,212
03/20/20,5619,65,18012,277
03/21/20,6516,83,24528,360
03/22/20,8545,98,33073,458
03/23/20,10432,121,43505,579
03/24/20,10433,206,53938,785
03/25/20,14634,269,68572,1054
03/26/20,16998,299,85570,1353
03/27/20,17330,417,102900,1770
03/28/20,21066,530,123966,2300
03/29/20,18520,418,142486,2718
03/30/20,21469,650,163955,3368
03/31/20,24506,936,188461,4304
04/01/20,26930,1021,215391,5325
04/02/20,29717,1216,245108,6541
04/03/20,32318,1391,277426,7932
04/04/20,35099,1556,312525,9488
04/05/20,25616,1368,338141,10856
04/06/20,30916,1526,369057,12382
04/07/20,30337,2234,399394,14616
04/08/20,31820,2085,431214,16701
04/09/20,34699,2120,465913,18821
04/10/20,33473,2263,499386,21084
04/11/20,31720,2084,531106,23168
04/12/20,27143,1681,558249,24849
04/13/20,25769,1764,584018,26613
04/14/20,26691,2705,610709,29318
04/15/20,30033,2752,640742,32070
04/16/20,31613,2349,672355,34419
04/17/20,31509,2289,703864,36708
04/18/20,28398,1951,732262,38659
04/19/20,25334,1520,757596,40179
04/20/20,27395,1837,784991,42016
04/21/20,25514,2672,810505,44688
04/22/20,28831,2371,839336,47059
04/23/20,33776,2169,873112,49228
04/24/20,36741,2132,909853,51360
04/25/20,34408,1967,944261,53327
04/26/20,26735,1253,970996,54580
04/27/20,23197,1442,994193,56022
04/28/20,24651,2394,1018844,58416
04/29/20,26555,2514,1045399,60930
04/30/20,30357,2210,1075756,63140
05/01/20,33970,1762,1109726,64902
05/02/20,29474,1583,1139200,66485
05/03/20,26140,1331,1165340,67816
05/04/20,21962,1089,1187302,68905
05/05/20,23709,2234,1211011,71139
05/06/20,24506,2708,1235517,73847
05/07/20,28478,1958,1263995,75805
05/08/20,27648,1575,1291643,77380
05/09/20,24868,1454,1316511,78834
05/10/20,20317,932,1336828,79766
05/11/20,17621,982,1354449,80748
05/12/20,22300,1652,1376749,82400
05/13/20,21145,1768,1397894,84168
05/14/20,26962,1738,1424856,85906
05/15/20,26237,1593,1451093,87499
05/16/20,23659,1225,1474752,88724
