Week Ending,Provider State,Newcases
01/03/21,AK,5.0
01/03/21,AL,109.0
01/03/21,AR,69.0
01/03/21,AZ,304.0
01/03/21,CA,1399.0
01/03/21,CO,91.0
01/03/21,CT,197.0
01/03/21,DC,6.0
01/03/21,DE,38.0
01/03/21,FL,553.0
01/03/21,GA,102.0
01/03/21,GU,0.0
01/03/21,HI,0.0
01/03/21,IA,70.0
01/03/21,ID,20.0
01/03/21,IL,415.0
01/03/21,IN,239.0
01/03/21,KS,101.0
01/03/21,KY,144.0
01/03/21,LA,46.0
01/03/21,MA,294.0
01/03/21,MD,126.0
01/03/21,ME,11.0
01/03/21,MI,243.0
01/03/21,MN,120.0
01/03/21,MO,177.0
01/03/21,MS,45.0
01/03/21,MT,8.0
01/03/21,NC,347.0
01/03/21,ND,11.0
01/03/21,NE,41.0
01/03/21,NH,19.0
01/03/21,NJ,504.0
01/03/21,NM,74.0
01/03/21,NV,62.0
01/03/21,NY,194.0
01/03/21,OH,634.0
01/03/21,OK,191.0
01/03/21,OR,61.0
01/03/21,PA,565.0
01/03/21,PR,0.0
01/03/21,RI,68.0
01/03/21,SC,118.0
01/03/21,SD,14.0
01/03/21,TN,224.0
01/03/21,TX,937.0
01/03/21,UT,86.0
01/03/21,VA,123.0
01/03/21,VT,4.0
01/03/21,WA,94.0
01/03/21,WI,76.0
01/03/21,WV,24.0
01/03/21,WY,2.0
01/10/21,AK,4.0
01/10/21,AL,126.0
01/10/21,AR,97.0
01/10/21,AZ,335.0
01/10/21,CA,1809.0
01/10/21,CO,82.0
01/10/21,CT,203.0
01/10/21,DC,11.0
01/10/21,DE,50.0
01/10/21,FL,642.0
01/10/21,GA,176.0
01/10/21,GU,0.0
01/10/21,HI,0.0
01/10/21,IA,66.0
01/10/21,ID,21.0
01/10/21,IL,436.0
01/10/21,IN,272.0
01/10/21,KS,96.0
01/10/21,KY,152.0
01/10/21,LA,81.0
01/10/21,MA,309.0
01/10/21,MD,123.0
01/10/21,ME,13.0
01/10/21,MI,259.0
01/10/21,MN,101.0
01/10/21,MO,216.0
01/10/21,MS,38.0
01/10/21,MT,25.0
01/10/21,NC,401.0
01/10/21,ND,13.0
01/10/21,NE,39.0
01/10/21,NH,21.0
01/10/21,NJ,583.0
01/10/21,NM,79.0
01/10/21,NV,87.0
01/10/21,NY,368.0
01/10/21,OH,606.0
01/10/21,OK,177.0
01/10/21,OR,60.0
01/10/21,PA,539.0
01/10/21,PR,0.0
01/10/21,RI,66.0
01/10/21,SC,113.0
01/10/21,SD,12.0
01/10/21,TN,248.0
01/10/21,TX,998.0
01/10/21,UT,93.0
01/10/21,VA,154.0
01/10/21,VT,3.0
01/10/21,WA,98.0
01/10/21,WI,84.0
01/10/21,WV,43.0
01/10/21,WY,7.0
01/17/21,AK,6.0
01/17/21,AL,161.0
01/17/21,AR,88.0
01/17/21,AZ,364.0
01/17/21,CA,1831.0
01/17/21,CO,73.0
01/17/21,CT,262.0
01/17/21,DC,5.0
01/17/21,DE,59.0
01/17/21,FL,672.0
01/17/21,GA,200.0
01/17/21,GU,0.0
01/17/21,HI,0.0
01/17/21,IA,82.0
01/17/21,ID,7.0
01/17/21,IL,379.0
01/17/21,IN,274.0
01/17/21,KS,95.0
01/17/21,KY,153.0
01/17/21,LA,70.0
01/17/21,MA,360.0
01/17/21,MD,133.0
01/17/21,ME,12.0
01/17/21,MI,286.0
01/17/21,MN,101.0
01/17/21,MO,187.0
01/17/21,MS,47.0
01/17/21,MT,16.0
01/17/21,NC,383.0
01/17/21,ND,6.0
01/17/21,NE,44.0
01/17/21,NH,18.0
01/17/21,NJ,626.0
01/17/21,NM,60.0
01/17/21,NV,87.0
01/17/21,NY,314.0
01/17/21,OH,628.0
01/17/21,OK,219.0
01/17/21,OR,53.0
01/17/21,PA,574.0
01/17/21,PR,0.0
01/17/21,RI,62.0
01/17/21,SC,180.0
01/17/21,SD,19.0
01/17/21,TN,273.0
01/17/21,TX,1195.0
01/17/21,UT,122.0
01/17/21,VA,195.0
